kegg_id	chebi_id
C00254	CHEBI:29934
C00255	CHEBI:17015
C00256	CHEBI:16004
C00257	CHEBI:18391
C00258	CHEBI:16659
C00259	CHEBI:17535
C00261	CHEBI:17169
C00262	CHEBI:17368
C00263	CHEBI:15699
C00264	CHEBI:15489
C00265	CHEBI:18320
C00266	CHEBI:17071
C00267	CHEBI:17925
C00268	CHEBI:43120
C00269	CHEBI:17962
C00270	CHEBI:17012
C00272	CHEBI:15372
C00273	CHEBI:17011
C00275	CHEBI:17369
C00279	CHEBI:48153
C00280	CHEBI:16422
C00282	CHEBI:18276
C00283	CHEBI:16136
C00284	CHEBI:4735
C00286	CHEBI:16497
C00288	CHEBI:17544
C00290	CHEBI:5054
C00291	CHEBI:28112
C00292	CHEBI:17296
C00294	CHEBI:17596
C00295	CHEBI:16742
C00296	CHEBI:17521
C00297	CHEBI:16385
C00298	CHEBI:9765
C00299	CHEBI:16704
C00300	CHEBI:16919
C00301	CHEBI:16960
C00302	CHEBI:18237
C00303	CHEBI:28300
C00304	CHEBI:6104
C00305	CHEBI:18420
C00307	CHEBI:16436
C00308	CHEBI:609827
C00309	CHEBI:17173
C00310	CHEBI:17140
C00311	CHEBI:16087
C00312	CHEBI:17399
C00313	CHEBI:15535
C00314	CHEBI:16709
C00315	CHEBI:16610
C00317	CHEBI:28057
C00318	CHEBI:16347
C00319	CHEBI:16393
C00320	CHEBI:33539
C00322	CHEBI:15753
C00323	CHEBI:15518
C00324	CHEBI:5020
C00325	CHEBI:13332
C00326	CHEBI:17089
C00327	CHEBI:16349
C00328	CHEBI:16946
C00329	CHEBI:47977
C00330	CHEBI:17172
C00331	CHEBI:29750
C00332	CHEBI:15345
C00333	CHEBI:4153
C00334	CHEBI:16865
C00337	CHEBI:17025
C00338	CHEBI:16412
C00339	CHEBI:17135
C00341	CHEBI:17211
C00342	CHEBI:15033
C00343	CHEBI:18191
C00344	CHEBI:17517
C00345	CHEBI:48928
C00346	CHEBI:17553
C00347	CHEBI:6526
C00348	CHEBI:16141
C00349	CHEBI:16256
C00350	CHEBI:16038
C00352	CHEBI:15873
C00353	CHEBI:48861
C00354	CHEBI:16905
C00355	CHEBI:15765
C00356	CHEBI:15467
C00357	CHEBI:15784
C00360	CHEBI:17713
C00361	CHEBI:28862
C00362	CHEBI:16192
C00363	CHEBI:18075
C00364	CHEBI:17013
C00365	CHEBI:17622
C00366	CHEBI:17775
C00369	CHEBI:28017
C00370	CHEBI:15889
C00371	CHEBI:16522
C00372	CHEBI:18269
C00373	CHEBI:177837
C00374	CHEBI:28304
C00375	CHEBI:17062
C00376	CHEBI:17898
C00377	CHEBI:35341
C00378	CHEBI:18385
C00379	CHEBI:17151
C00380	CHEBI:16040
C00381	CHEBI:16091
C00383	CHEBI:15792
C00384	CHEBI:7507
C00385	CHEBI:17712
C00386	CHEBI:15727
C00387	CHEBI:16750
C00388	CHEBI:18295
C00389	CHEBI:16243
C00390	CHEBI:17976
C00392	CHEBI:16899
C00394	CHEBI:17383
C00395	CHEBI:17334
C00396	CHEBI:16898
C00397	CHEBI:28864
C00398	CHEBI:16765
C00399	CHEBI:16389
C00400	CHEBI:15409
C00401	CHEBI:16137
C00402	CHEBI:17364
C00403	CHEBI:15841
C00404	CHEBI:16838
C00405	CHEBI:16733
C00406	CHEBI:15511
C00407	CHEBI:17191
C00408	CHEBI:30633
C00409	CHEBI:16007
C00410	CHEBI:17026
C00411	CHEBI:15540
C00412	CHEBI:15541
C00413	CHEBI:17076
C00414	CHEBI:17854
C00415	CHEBI:15633
C00416	CHEBI:16337
C00417	CHEBI:16383
C00418	CHEBI:17710
C00419	CHEBI:15986
C00420	CHEBI:18154
C00422	CHEBI:17855
C00423	CHEBI:15669
C00424	CHEBI:18041
C00426	CHEBI:18376
C00427	CHEBI:15554
C00429	CHEBI:15901
C00430	CHEBI:17549
C00431	CHEBI:15887
C00433	CHEBI:17415
C00434	CHEBI:4705
C00436	CHEBI:17902
C00437	CHEBI:16543
C00438	CHEBI:15859
C00439	CHEBI:7274
C00440	CHEBI:15641
C00441	CHEBI:13086
C00445	CHEBI:15638
C00446	CHEBI:17973
C00447	CHEBI:17969
C00448	CHEBI:17407
C00449	CHEBI:16927
C00450	CHEBI:49014
C00451	CHEBI:151
C00454	CHEBI:16862
C00455	CHEBI:16171
C00458	CHEBI:16311
C00459	CHEBI:18077
C00460	CHEBI:17625
C00461	CHEBI:17029
C00462	CHEBI:16042
C00463	CHEBI:16881
C00464	CHEBI:28808
C00466	CHEBI:15688
C00468	CHEBI:17263
C00469	CHEBI:16236
C00470	CHEBI:15446
C00472	CHEBI:16509
C00473	CHEBI:17336
C00474	CHEBI:15963
C00475	CHEBI:17562
C00476	CHEBI:16789
C00477	CHEBI:16688
C00478	CHEBI:6452
C00479	CHEBI:17153
C00480	CHEBI:27941
C00481	CHEBI:17241
C00482	CHEBI:15714
C00483	CHEBI:15760
C00484	CHEBI:2862
C00486	CHEBI:16990
C00487	CHEBI:3424
C00488	CHEBI:16397
C00489	CHEBI:17859
C00490	CHEBI:17240
C00491	CHEBI:16283
C00492	CHEBI:16634
C00493	CHEBI:16119
C00494	CHEBI:9169
C00495	CHEBI:16159
C00497	CHEBI:15588
C00498	CHEBI:15751
C00499	CHEBI:17536
C00500	CHEBI:17033
C00501	CHEBI:28942
C00502	CHEBI:48093
C00503	CHEBI:17113
C00504	CHEBI:27470
C00505	CHEBI:17833
C00506	CHEBI:17285
C00507	CHEBI:62345
C00508	CHEBI:16880
C00509	CHEBI:17846
C00510	CHEBI:15534
C00511	CHEBI:18308
C00512	CHEBI:15515
C00513	CHEBI:132202
C00514	CHEBI:17767
C00515	CHEBI:16176
C00516	CHEBI:5058
C00517	CHEBI:17600
C00518	CHEBI:16336
C00519	CHEBI:16668
C00521	CHEBI:15383
C00522	CHEBI:14737
C00523	CHEBI:16032
C00524	CHEBI:18070
C00525	CHEBI:16296
C00526	CHEBI:16450
C00527	CHEBI:15524
C00528	CHEBI:141615
C00530	CHEBI:17594
C00531	CHEBI:15528
C00532	CHEBI:18403
C00533	CHEBI:16480
C00534	CHEBI:16410
C00535	CHEBI:17347
C00536	CHEBI:18036
C00538	CHEBI:27659
C00539	CHEBI:30746
C00540	CHEBI:15463
C00541	CHEBI:16304
C00542	CHEBI:17755
C00543	CHEBI:17170
C00544	CHEBI:16169
C00545	CHEBI:16501
C00546	CHEBI:17158
C00547	CHEBI:18357
C00548	CHEBI:8082
C00549	CHEBI:8758
C00550	CHEBI:17636
C00551	CHEBI:28793
C00552	CHEBI:15673
C00553	CHEBI:15402
C00555	CHEBI:17769
C00556	CHEBI:17987
C00557	CHEBI:16486
C00558	CHEBI:17886
C00559	CHEBI:17256
