foodb_compound_id	foodb_compound_name	chebi_id	chebi_label	match_source	match_type
588	Eugenitin	CHEBI:67491	eugenitin	primary_name	exact_label
591	Eupatilin	CHEBI:4932	eupatilin	primary_name	exact_label
592	Isodillapiole	CHEBI:174136	Isodillapiole	primary_name	exact_label
595	Isoeugenitin	CHEBI:174117	Isoeugenitin	primary_name	exact_label
601	Isomangiferin	CHEBI:80840	isomangiferin	primary_name	exact_label
604	Isorhamnetin	CHEBI:6052	isorhamnetin	primary_name	exact_label
612	Didymin	CHEBI:176179	Didymin	primary_name	exact_label
613	Isotheaflavin	CHEBI:192062	Isotheaflavin	primary_name	exact_label
623	Isoferreirin	CHEBI:174882	Isoferreirin	primary_name	exact_label
626	Formononetin 7-(6''-malonylglucoside)	CHEBI:176205	Formononetin 7-(6''-malonylglucoside)	primary_name	exact_label
628	Trigoforin	CHEBI:191532	Trigoforin	primary_name	exact_label
633	Kaempferol	CHEBI:28499	kaempferol	primary_name	exact_label
645	Garcinone B	CHEBI:171874	Garcinone B	primary_name	exact_label
646	Garcinone C	CHEBI:175308	Garcinone C	primary_name	exact_label
652	Limocitrin	CHEBI:168450	Limocitrin	primary_name	exact_label
653	Limocitrin 3-glucoside	CHEBI:190796	Limocitrin 3-glucoside	primary_name	exact_label
655	Liquiritigenin	CHEBI:28777	liquiritigenin	primary_name	exact_label
657	Galangin	CHEBI:5262	galangin	primary_name	exact_label
658	3-Methylgalangin	CHEBI:1602	3-methylgalangin	primary_name	exact_label
661	Raffinose	CHEBI:16634	raffinose	primary_name	exact_label
666	Sanguiin H6	CHEBI:192501	sanguiin H6	primary_name	exact_label
669	6''-O-Acetylgenistin	CHEBI:142249	6''-O-acetylgenistin	primary_name	exact_label
678	(S)-Naringenin	CHEBI:17846	(S)-naringenin	primary_name	exact_label
682	Xenognosin A	CHEBI:10075	Xenognosin A	primary_name	exact_label
683	Nobiletin	CHEBI:7602	nobiletin	primary_name	exact_label
690	3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone	CHEBI:175928	3'-Hydroxy-4',5,6,7,8-pentamethoxyflavone	primary_name	exact_label
691	Pebrellin	CHEBI:169268	Pebrellin	primary_name	exact_label
697	Amitenone	CHEBI:229840	amitenone	primary_name	exact_label
698	Glycitein	CHEBI:34778	glycitein	primary_name	exact_label
700	Undecanoic acid	CHEBI:32368	undecanoic acid	primary_name	exact_label
701	Ethyl undecanoate	CHEBI:180101	Ethyl undecanoate	primary_name	exact_label
710	Choline	CHEBI:15354	choline	primary_name	exact_label
718	3-Acetyl-2,5-dimethylfuran	CHEBI:167367	3-acetyl-2,5-dimethylfuran	primary_name	exact_label
722	Hydroxy-alpha-sanshool	CHEBI:172306	Hydroxy-alpha-sanshool	primary_name	exact_label
727	Diethyl disulfide	CHEBI:179050	Diethyl disulfide	primary_name	exact_label
734	Diisopropyl disulfide	CHEBI:173637	Diisopropyl disulfide	primary_name	exact_label
739	Methyl sorbate	CHEBI:184593	Methyl sorbate	primary_name	exact_label
740	Lycopersiconol	CHEBI:189932	Lycopersiconol	primary_name	exact_label
751	Triacetin	CHEBI:9661	triacetin	primary_name	exact_label
753	Ethanol	CHEBI:16236	ethanol	primary_name	exact_label
756	Glycerol	CHEBI:17754	glycerol	primary_name	exact_label
764	Dimethyl sulfoxide	CHEBI:28262	dimethyl sulfoxide	primary_name	exact_label
770	Lubiminol	CHEBI:156178	Lubiminol	primary_name	exact_label
771	Ginkgolide J	CHEBI:5358	Ginkgolide J	primary_name	exact_label
773	Stigmastentriol	CHEBI:191496	Stigmastentriol	primary_name	exact_label
774	Tiglic acid	CHEBI:9592	tiglic acid	primary_name	exact_label
775	Angelic acid	CHEBI:36431	angelic acid	primary_name	exact_label
778	Asparagusic acid	CHEBI:18091	asparagusic acid	primary_name	exact_label
781	9-Azabicyclo[3.3.1]nonan-3-one	CHEBI:179646	9-Azabicyclo[3.3.1]nonan-3-one	primary_name	exact_label
787	L-Asparagine	CHEBI:17196	L-asparagine	primary_name	exact_label
790	Tricetin	CHEBI:507499	tricetin	primary_name	exact_label
791	Lucyoside Q	CHEBI:176264	Lucyoside Q	primary_name	exact_label
794	Torvoside D	CHEBI:188258	Torvoside D	primary_name	exact_label
795	3-O-Protocatechuoylceanothic acid	CHEBI:187726	3-O-Protocatechuoylceanothic acid	primary_name	exact_label
796	5alpha-Ethoxy-6beta-hydroxy-5,6-dihydrophysalin B	CHEBI:169523	5alpha-Ethoxy-6beta-hydroxy-5,6-dihydrophysalin B	primary_name	exact_label
801	Chalconaringenin	CHEBI:15413	2',4,4',6'-tetrahydroxychalcone	chebi_synonym	exact_label
810	3-(4-Methylphenyl)-2-propenal	CHEBI:173613	3-(4-Methylphenyl)-2-propenal	primary_name	exact_label
828	3,6-Epoxy-5,5',6,6'-tetrahydro-b,b-carotene-3',5,5',6'-tetrol	CHEBI:176245	3,6-Epoxy-5,5',6,6'-tetrahydro-b,b-carotene-3',5,5',6'-tetrol	primary_name	exact_label
829	Erinacine G	CHEBI:175660	Erinacine G	primary_name	exact_label
840	Vanilloside	CHEBI:168797	Vanilloside	primary_name	exact_label
849	Phloretic acid	CHEBI:32980	phloretic acid	primary_name	exact_label
861	Diosmetin	CHEBI:4630	diosmetin	primary_name	exact_label
876	Octacosanal	CHEBI:78441	octacosanal	primary_name	exact_label
884	Hexacosanal	CHEBI:78439	hexacosanal	primary_name	exact_label
887	Cinnamyl alcohol	CHEBI:17177	cinnamyl alcohol	primary_name	exact_label
898	1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one	CHEBI:168531	1-(2,6,6-Trimethyl-2-cyclohexen-1-yl)-1,6-heptadien-3-one	primary_name	exact_label
906	Thiabendazole	CHEBI:45979	thiabendazole	primary_name	exact_label
907	Thiazole	CHEBI:43732	thiazole	primary_name	exact_label
908	4,5-Dihydro-1-benzoxepin-3(2H)-one	CHEBI:193697	4,5-Dihydro-1-benzoxepin-3(2H)-one	primary_name	exact_label
912	Thiophene	CHEBI:30856	thiophene	primary_name	exact_label
917	Tryptamine	CHEBI:16765	tryptamine	primary_name	exact_label
921	Urocanic acid	CHEBI:27248	urocanic acid	primary_name	exact_label
923	5-Ethyl-2,3-dimethylpyrazine	CHEBI:193641	5-Ethyl-2,3-dimethylpyrazine	primary_name	exact_label
925	5-Ethyl-2-methylpyridine	CHEBI:179423	5-Ethyl-2-methylpyridine	primary_name	exact_label
926	2-Ethyl-4-methylthiazole	CHEBI:178615	2-Ethyl-4-methylthiazole	primary_name	exact_label
927	4-Ethyl-2-methylthiazole	CHEBI:178616	4-Ethyl-2-methylthiazole	primary_name	exact_label
930	3-Ethylpyridine	CHEBI:169025	3-Ethylpyridine	primary_name	exact_label
936	Indole-3-methyl acetate	CHEBI:72782	methyl (indol-3-yl)acetate	chebi_synonym	exact_label
957	Furazolidone	CHEBI:5195	furazolidone	primary_name	exact_label
958	Procyanidin B1	CHEBI:75633	procyanidin B1	primary_name	exact_label
963	Herniarin	CHEBI:5679	herniarin	primary_name	exact_label
